Instance;Best Score;Avg Score;Avg Time
BBA0004;0,7440;0,6974;5092,1
BBA0005;0,5760;0,5688;192,0
BBA0008;0,8910;0,8760;1181,6
BBA0011;0,9700;0,9602;744,4
BBA0014;0,7290;0,7210;166,9
BBA0015;0,6670;0,6536;1519,0
BBA0019;0,9430;0,9430;218,5
BBA0021;0,9340;0,9316;233,7
BBA0022;0,9470;0,9470;34,8
BBA0024;0,5780;0,5780;384,1
BBA0080;0,6800;0,6672;30,0
BBA0126;0,0810;0,0788;682,9
BBA0133;0,1370;0,1230;16826,7
BBA0142;0,9290;0,9052;7,0
BBA0148;0,7170;0,7126;1894,7
BBA0155;0,7900;0,7900;114,3
BBA0163;0,1240;0,1140;1220,0
BBA0178;0,8910;0,8876;2340,8
BBA0183;0,8490;0,7090;184,9
BBA0185;0,6330;0,6330;26,7
BBA0192;0,8810;0,8798;51,9
BBA0201;0,4240;0,4130;126,4
BBA0218;0,2700;0,2700;525,8
