base_name,score_reference,score_clustalw
BBA0001,1.000,0.773
BBA0002,0.992,0.938
BBA0003,1.000,0.931
BBA0004,0.993,0.737
BBA0005,0.995,0.686
BBA0006,1.000,0.899
BBA0007,1.000,0.984
BBA0008,1.000,0.872
BBA0009,0.987,0.905
BBA0010,0.980,0.352
BBA0011,0.990,0.900
BBA0012,1.000,0.870
BBA0013,1.000,0.885
BBA0014,0.983,0.799
BBA0015,0.989,0.742
BBA0016,1.000,0.872
BBA0017,0.986,0.851
BBA0018,1.000,0.739
BBA0019,0.991,0.972
BBA0020,1.000,1.000
BBA0021,1.000,0.988
BBA0022,0.989,0.915
BBA0023,1.000,0.987
BBA0024,1.000,0.761
BBA0025,0.987,0.844
BBA0026,1.000,0.666
BBA0027,1.000,0.603
BBA0028,1.000,1.000
BBA0029,1.000,0.904
BBA0030,1.000,0.905
BBA0031,0.979,0.758
BBA0032,1.000,0.944
BBA0033,1.000,0.884
BBA0034,1.000,0.420
BBA0035,0.997,0.816
BBA0036,1.000,0.883
BBA0037,0.985,0.138
BBA0038,0.996,0.799
BBA0039,0.981,0.021
BBA0040,1.000,0.192
BBA0041,0.997,0.489
BBA0042,0.999,0.705
BBA0043,0.993,0.811
BBA0044,1.000,0.181
BBA0045,1.000,0.494
BBA0046,1.000,0.890
BBA0047,0.996,0.809
BBA0048,0.997,0.494
BBA0049,0.999,0.333
BBA0050,1.000,0.817
BBA0051,1.000,0.756
BBA0052,1.000,0.905
BBA0053,0.994,0.300
BBA0054,1.000,0.780
BBA0055,0.999,0.494
BBA0056,0.993,0.314
BBA0057,1.000,0.855
BBA0058,0.995,0.211
BBA0059,0.998,0.204
BBA0060,0.994,0.697
BBA0061,0.996,0.745
BBA0062,1.000,0.690
BBA0063,1.000,0.122
BBA0064,0.991,0.576
BBA0065,0.993,0.823
BBA0066,0.994,0.118
BBA0067,0.994,0.249
BBA0068,0.996,0.507
BBA0069,1.000,0.804
BBA0070,0.999,0.878
BBA0071,1.000,0.907
BBA0072,0.989,0.479
BBA0073,1.000,0.773
BBA0074,0.999,0.540
BBA0075,0.998,0.493
BBA0076,1.000,0.821
BBA0077,0.993,0.638
BBA0078,1.000,0.565
BBA0079,1.000,0.454
BBA0080,1.000,0.905
BBA0081,0.998,0.298
BBA0082,0.993,0.256
BBA0083,1.000,0.748
BBA0084,1.000,0.923
BBA0085,0.993,0.401
BBA0086,1.000,0.826
BBA0087,1.000,0.498
BBA0088,1.000,0.757
BBA0089,1.000,0.769
BBA0090,1.000,0.916
BBA0091,1.000,0.130
BBA0092,1.000,0.817
BBA0093,1.000,1.000
BBA0094,1.000,0.882
BBA0095,1.000,0.855
BBA0096,1.000,0.733
