base_name,score_reference,score_clustalw
BBA0001,1.000,0.470
BBA0002,0.992,0.837
BBA0003,1.000,0.609
BBA0004,0.993,0.243
BBA0005,0.995,0.544
BBA0006,1.000,0.698
BBA0007,1.000,0.834
BBA0008,1.000,0.509
BBA0009,0.987,0.801
BBA0010,0.980,0.168
BBA0011,0.990,0.643
BBA0012,1.000,0.167
BBA0013,1.000,0.765
BBA0014,0.983,0.698
BBA0015,0.989,0.554
BBA0016,1.000,0.992
BBA0017,0.986,0.407
BBA0018,1.000,0.191
BBA0019,0.991,0.934
BBA0020,1.000,0.642
BBA0021,1.000,0.864
BBA0022,0.989,0.808
BBA0023,1.000,0.788
BBA0024,1.000,0.415
BBA0025,0.987,0.427
BBA0026,1.000,0.225
BBA0027,1.000,0.326
BBA0028,1.000,0.960
BBA0029,1.000,0.727
BBA0030,1.000,0.690
BBA0031,0.979,0.677
BBA0032,1.000,1.000
BBA0033,1.000,0.761
BBA0034,1.000,0.072
BBA0035,0.997,0.240
BBA0036,1.000,0.777
BBA0037,0.985,0.042
BBA0038,0.996,0.464
BBA0039,0.981,0.007
BBA0040,1.000,0.291
BBA0041,0.997,0.346
BBA0042,0.999,0.444
BBA0043,0.993,0.415
BBA0044,1.000,0.146
BBA0045,1.000,0.354
BBA0046,1.000,0.506
BBA0047,0.996,0.297
BBA0048,0.997,0.104
BBA0049,0.999,0.228
BBA0050,1.000,0.572
BBA0051,1.000,0.538
BBA0052,1.000,0.674
BBA0053,0.994,0.339
BBA0054,1.000,0.402
BBA0055,0.999,0.436
BBA0056,0.993,0.038
BBA0057,1.000,0.714
BBA0058,0.995,0.069
BBA0059,0.998,0.237
BBA0060,0.994,0.521
BBA0061,0.996,0.196
BBA0062,1.000,0.172
BBA0063,1.000,0.055
BBA0064,0.991,0.215
BBA0065,0.993,0.391
BBA0066,0.994,0.148
BBA0067,0.994,0.057
BBA0068,0.996,0.436
BBA0069,1.000,0.560
BBA0070,0.999,0.551
BBA0071,1.000,0.550
BBA0072,0.989,0.208
BBA0073,1.000,0.379
BBA0074,0.999,0.153
BBA0075,0.998,0.168
BBA0076,1.000,0.274
BBA0077,0.993,0.452
BBA0078,1.000,0.319
BBA0079,1.000,0.256
BBA0080,1.000,0.353
BBA0081,0.998,0.242
BBA0082,0.993,0.239
BBA0083,1.000,0.452
BBA0084,1.000,0.688
BBA0085,0.993,0.345
BBA0086,1.000,0.107
BBA0087,1.000,0.468
BBA0088,1.000,0.569
BBA0089,1.000,0.319
BBA0090,1.000,0.471
BBA0091,1.000,0.064
BBA0092,1.000,0.500
BBA0093,1.000,0.960
BBA0094,1.000,0.683
BBA0095,1.000,0.559
BBA0096,1.000,0.728
BBA0097,1.000,0.559
BBA0098,1.000,0.665
BBA0099,0.994,0.024
BBA0100,0.997,0.272
BBA0101,0.999,0.073
BBA0102,0.997,0.111
BBA0103,1.000,0.345
BBA0104,1.000,0.106
BBA0105,1.000,0.495
