base_name,score_reference,score_clustalw
BBA0001,1.000,0.293
BBA0002,0.992,0.929
BBA0003,1.000,0.708
BBA0004,0.993,0.094
BBA0005,0.995,0.472
BBA0006,1.000,0.842
BBA0007,1.000,0.984
BBA0008,1.000,0.488
BBA0009,0.987,0.894
BBA0010,0.980,0.083
BBA0011,0.990,0.813
BBA0012,1.000,0.839
BBA0013,1.000,0.846
BBA0014,0.983,0.719
BBA0015,0.989,0.537
BBA0016,1.000,0.864
BBA0017,0.986,0.699
BBA0018,1.000,0.150
BBA0019,0.991,0.943
BBA0020,1.000,0.642
BBA0021,1.000,0.864
BBA0022,0.989,0.889
BBA0023,1.000,0.809
BBA0024,1.000,0.578
BBA0025,0.987,0.782
BBA0026,1.000,0.155
BBA0027,1.000,0.510
BBA0028,1.000,0.960
BBA0029,1.000,0.782
BBA0030,1.000,0.795
BBA0031,0.979,0.677
BBA0032,1.000,1.000
BBA0033,1.000,0.818
BBA0034,1.000,0.132
BBA0035,0.997,0.286
BBA0036,1.000,0.867
BBA0037,0.985,0.105
BBA0038,0.996,0.481
BBA0039,0.981,0.012
BBA0040,1.000,0.176
BBA0041,0.997,0.329
BBA0042,0.999,0.445
BBA0043,0.993,0.445
BBA0044,1.000,0.003
BBA0045,1.000,0.426
BBA0046,1.000,0.459
BBA0047,0.996,0.238
BBA0048,0.997,0.171
BBA0049,0.999,0.242
BBA0050,1.000,0.603
BBA0051,1.000,0.747
BBA0052,1.000,0.793
BBA0053,0.994,0.003
BBA0054,1.000,0.607
BBA0055,0.999,0.179
BBA0056,0.993,0.259
BBA0057,1.000,0.711
BBA0058,0.995,0.071
BBA0059,0.998,0.080
BBA0060,0.994,0.589
BBA0061,0.996,0.313
BBA0062,1.000,0.630
BBA0063,1.000,0.071
BBA0064,0.991,0.162
BBA0065,0.993,0.629
BBA0066,0.994,0.085
BBA0067,0.994,0.032
BBA0068,0.996,0.405
BBA0069,1.000,0.676
BBA0070,0.999,0.300
BBA0071,1.000,0.718
BBA0072,0.989,0.142
BBA0073,1.000,0.588
BBA0074,0.999,0.221
BBA0075,0.998,0.344
BBA0076,1.000,0.510
BBA0077,0.993,0.101
BBA0078,1.000,0.218
BBA0079,1.000,0.248
BBA0080,1.000,0.152
BBA0081,0.998,0.232
BBA0082,0.993,0.133
BBA0083,1.000,0.309
BBA0084,1.000,0.842
BBA0085,0.993,0.256
BBA0086,1.000,0.366
BBA0087,1.000,0.480
BBA0088,1.000,0.709
BBA0089,1.000,0.557
BBA0090,1.000,0.776
BBA0091,1.000,0.063
BBA0092,1.000,0.286
BBA0093,1.000,0.980
BBA0094,1.000,0.809
BBA0095,1.000,0.688
BBA0096,1.000,0.725
BBA0097,1.000,0.222
BBA0098,1.000,0.849
BBA0099,0.994,0.051
BBA0100,0.997,0.086
BBA0101,0.999,0.051
BBA0102,0.997,0.117
BBA0103,1.000,0.594
BBA0104,1.000,0.027
BBA0105,1.000,0.366
BBA0106,0.998,0.589
BBA0107,0.998,0.092
BBA0108,1.000,0.000
BBA0109,0.999,0.179
BBA0110,0.991,0.062
BBA0111,0.990,0.320
BBA0112,0.996,0.101
BBA0113,0.996,0.442
BBA0114,1.000,0.724
BBA0115,1.000,0.833
BBA0116,0.998,0.667
BBA0117,1.000,0.172
BBA0118,0.967,0.078
BBA0119,0.944,0.000
BBA0120,1.000,0.798
BBA0121,0.997,0.704
BBA0122,0.997,0.259
BBA0123,0.996,0.646
BBA0124,1.000,0.000
BBA0125,0.999,0.298
BBA0126,0.996,0.035
BBA0127,0.995,0.509
BBA0128,0.996,0.187
BBA0129,1.000,0.225
BBA0130,0.984,0.278
BBA0131,0.994,0.171
BBA0132,1.000,0.759
BBA0133,1.000,0.094
BBA0134,0.992,0.104
BBA0135,1.000,0.091
BBA0136,1.000,0.552
BBA0137,0.995,0.066
BBA0138,1.000,0.016
BBA0139,0.989,0.005
BBA0140,0.999,0.253
BBA0141,1.000,0.605
BBA0142,1.000,0.762
BBA0143,0.992,0.274
BBA0144,0.990,0.306
BBA0145,1.000,0.614
BBA0146,0.989,0.918
BBA0147,1.000,0.587
BBA0148,1.000,0.447
BBA0149,1.000,0.639
BBA0150,1.000,0.065
BBA0151,1.000,0.360
BBA0152,1.000,0.531
BBA0153,1.000,0.435
BBA0154,1.000,0.324
BBA0155,1.000,0.776
BBA0156,1.000,0.739
BBA0157,0.997,0.595
BBA0158,0.999,0.466
BBA0159,1.000,0.520
BBA0160,0.997,0.355
BBA0161,0.996,0.706
BBA0162,0.998,0.580
BBA0163,1.000,0.030
BBA0164,0.998,0.098
BBA0165,0.989,0.492
BBA0166,1.000,0.634
BBA0167,1.000,0.552
BBA0168,0.997,0.335
BBA0169,1.000,0.509
BBA0170,0.996,0.171
BBA0171,1.000,0.849
BBA0172,0.992,0.543
BBA0173,1.000,1.000
BBA0174,0.996,0.136
BBA0175,1.000,0.853
BBA0176,1.000,0.695
BBA0177,0.987,0.755
BBA0178,0.983,0.728
BBA0179,0.994,0.874
BBA0180,0.999,0.343
BBA0181,1.000,0.058
BBA0182,0.996,0.662
BBA0183,0.980,0.067
BBA0184,1.000,0.000
BBA0185,1.000,0.000
BBA0186,1.000,0.389
BBA0187,0.956,0.198
BBA0188,0.987,0.241
BBA0189,1.000,0.981
BBA0190,0.993,0.292
BBA0191,1.000,0.355
BBA0192,1.000,0.813
BBA0193,1.000,0.258
BBA0194,1.000,0.989
BBA0195,0.996,0.414
BBA0196,0.983,0.434
BBA0197,0.989,0.710
BBA0198,0.995,0.434
BBA0199,0.998,0.545
BBA0200,0.997,0.424
BBA0201,1.000,0.457
BBA0202,0.997,0.049
BBA0203,1.000,0.946
BBA0204,0.998,0.615
BBA0205,0.996,0.445
BBA0206,1.000,0.701
BBA0207,1.000,0.392
BBA0208,1.000,0.329
BBA0209,1.000,0.203
BBA0210,0.999,0.579
BBA0211,1.000,0.612
BBA0212,0.988,0.862
BBA0213,0.997,0.302
BBA0214,0.998,0.163
BBA0215,1.000,0.074
BBA0216,1.000,0.554
BBA0217,1.000,0.680
BBA0218,1.000,0.270
