sequence,method,sp_raw,sp_norm
BBS30011,ClustalW,510987.0,0.7079735646198182
BBS30011,MUSCLE,572278.0,0.7259463162167648
BBS30011,BAliBASE,529863.0,0.7115693489471422
BB30021,ClustalW,5365061.0,0.9314083289353073
BB30021,MUSCLE,7117379.0,0.9426392759135843
BB30021,BAliBASE,5735633.0,0.9341984777584317
BB30022,ClustalW,443116.0,0.8501271019789538
BB30022,MUSCLE,557371.0,0.871968523646376
BB30022,BAliBASE,451437.0,0.8486295962102414
BB30026,ClustalW,2619778.0,0.9105556945834724
BB30026,MUSCLE,3567378.0,0.923693450161571
BB30026,BAliBASE,2409033.0,0.8947397156482596
BBS30030,ClustalW,562208.0,0.7907107575638241
BBS30030,MUSCLE,678744.0,0.8176170783799053
BBS30030,BAliBASE,614941.0,0.8049345257106356
BBS30007,ClustalW,23872.0,0.7521109010712035
BBS30007,MUSCLE,25863.0,0.761841640155532
BBS30007,BAliBASE,25633.0,0.7675470116181579
BB30024,ClustalW,2646577.0,0.929261275457823
BB30024,MUSCLE,3181841.0,0.9353679042831525
BB30024,BAliBASE,2645931.0,0.9282698157094292
BBS30002,ClustalW,268554.0,0.8250506912442397
BBS30002,MUSCLE,294625.0,0.8304091094857594
BBS30002,BAliBASE,265043.0,0.8224890999084548
BBS30012,ClustalW,701483.0,0.8010723095194592
BBS30012,MUSCLE,812388.0,0.818807450411224
BBS30012,BAliBASE,759655.0,0.8134047884187082
BBS30020,ClustalW,132532.0,0.8118843420730213
BBS30020,MUSCLE,139104.0,0.8137592137592138
BBS30020,BAliBASE,135553.0,0.8150132275132275
BB30020,ClustalW,1296933.0,0.9736003303055326
BB30020,MUSCLE,2643624.0,0.9860074445944635
BB30020,BAliBASE,1483307.0,0.9768624377650746
BBS30004,ClustalW,476009.0,0.7619191676670668
BBS30004,MUSCLE,533208.0,0.7786616041765544
BBS30004,BAliBASE,473441.0,0.759297542199591
BB30011,ClustalW,794567.0,0.7876358049167328
BB30011,MUSCLE,1006332.0,0.8214150450568107
BB30011,BAliBASE,806830.0,0.788412679799875
BBS30014,ClustalW,176246.0,0.7828006466857356
BBS30014,MUSCLE,216054.0,0.809882596374432
BBS30014,BAliBASE,181223.0,0.7819087888855331
BBS30023,ClustalW,814578.0,0.8335120599539131
BBS30023,MUSCLE,1245036.0,0.8791484722324218
BBS30023,BAliBASE,817176.0,0.8287267940555462
BB30003,ClustalW,5780445.0,0.8938225227791226
BB30003,MUSCLE,11266601.0,0.9355129972159469
BB30003,BAliBASE,6373827.0,0.8980004928288333
BBS30029,ClustalW,2136622.0,0.7750538679744916
BBS30029,MUSCLE,2760465.0,0.8122849168504545
BBS30029,BAliBASE,2089688.0,0.7699765987966675
BB30027,ClustalW,40061.0,0.8934210526315789
BB30027,MUSCLE,49050.0,0.9090066716085989
BB30027,BAliBASE,40681.0,0.895859942743889
BB30019,ClustalW,480796.0,0.9265231006407477
BB30019,MUSCLE,713477.0,0.9441685292595813
BB30019,BAliBASE,485728.0,0.9250270426741015
BBS30021,ClustalW,2173094.0,0.8491998796400142
BBS30021,MUSCLE,3080663.0,0.8819356611805661
BBS30021,BAliBASE,2436416.0,0.8604895759386599
BBS30025,ClustalW,272555.0,0.8409076885104282
BBS30025,MUSCLE,354176.0,0.8683955660277896
BBS30025,BAliBASE,282358.0,0.8430509608149909
BBS30024,ClustalW,589811.0,0.8493626298933205
BBS30024,MUSCLE,736524.0,0.8648728625478218
BBS30024,BAliBASE,586978.0,0.8424368722748944
BB30007,ClustalW,96822.0,0.9305155114750318
BB30007,MUSCLE,175239.0,0.9547728015691402
BB30007,BAliBASE,237151.0,0.9676157135396266
BBS30008,ClustalW,217493.0,0.7267936507936508
BBS30008,MUSCLE,302068.0,0.7771037534408685
BBS30008,BAliBASE,261086.0,0.7660299856233312
BBS30006,ClustalW,15939.0,0.8138786764705882
BBS30006,MUSCLE,22178.0,0.85771744595274
BBS30006,BAliBASE,15881.0,0.817302248983583
BBS30009,ClustalW,38432.0,0.72891417733523
BBS30009,MUSCLE,48960.0,0.7738264580369844
BBS30009,BAliBASE,37973.0,0.7299411787320749
BB30018,ClustalW,1917340.0,0.8102472823285006
BB30018,MUSCLE,2751813.0,0.8556065782956539
BB30018,BAliBASE,2032597.0,0.8164722290174642
BB30028,ClustalW,1378955.0,0.6496929052538738
BB30028,MUSCLE,1917269.0,0.7157877563332915
BB30028,BAliBASE,1488753.0,0.6646361172025115
BB30023,ClustalW,1915958.0,0.922259875039712
BB30023,MUSCLE,2590349.0,0.9348328823402463
BB30023,BAliBASE,1829710.0,0.9115569868216792
BBS30028,ClustalW,945477.0,0.6127905559905218
BBS30028,MUSCLE,1374529.0,0.6936824500276558
BBS30028,BAliBASE,993634.0,0.6219043541829398
BB30010,ClustalW,1309875.0,0.8045791680103193
BB30010,MUSCLE,1687298.0,0.8383360453128299
BB30010,BAliBASE,1423551.0,0.8160691355193763
BB30009,ClustalW,170869.0,0.8711716810188797
BB30009,MUSCLE,249646.0,0.8990258746421305
BB30009,BAliBASE,171826.0,0.8792021859041927
BBS30018,ClustalW,668944.0,0.6494419089171276
BBS30018,MUSCLE,759216.0,0.6741844821844822
BBS30018,BAliBASE,698475.0,0.6570406994135808
BB30014,ClustalW,235579.0,0.8245908180838105
BB30014,MUSCLE,297914.0,0.8511342209016628
BB30014,BAliBASE,238705.0,0.8219246475817947
BB30029,ClustalW,5221859.0,0.8860039160326585
BB30029,MUSCLE,6401677.0,0.9003147182021825
BB30029,BAliBASE,5160481.0,0.8834266294406667
BB30015,ClustalW,134210.0,0.9289174972314507
BB30015,MUSCLE,142115.0,0.9245055945875618
BB30015,BAliBASE,143903.0,0.931049430641822
BB30017,ClustalW,36514.0,0.8672129200807505
BB30017,MUSCLE,40688.0,0.8649659863945578
BB30017,BAliBASE,37730.0,0.8637820512820513
BBS30027,ClustalW,20252.0,0.8136601044596223
BBS30027,MUSCLE,21598.0,0.817796289284362
BBS30027,BAliBASE,20740.0,0.8207360506529482
BBS30017,ClustalW,26388.0,0.8433365292425695
BBS30017,MUSCLE,29065.0,0.8388167388167388
BBS30017,BAliBASE,27665.0,0.836432350718065
BB30001,ClustalW,5588365.0,0.8763973138953536
BB30001,MUSCLE,6962270.0,0.892152641627904
BB30001,BAliBASE,5512324.0,0.8708486641821345
BBS30026,ClustalW,1152594.0,0.8272997416020672
BBS30026,MUSCLE,1527767.0,0.8526817806353671
BBS30026,BAliBASE,1213248.0,0.8248001305270027
BB30025,ClustalW,1462118.0,0.9615003455729507
BB30025,MUSCLE,2446101.0,0.9748416744745099
BB30025,BAliBASE,1285167.0,0.9554448820829412
BB30030,ClustalW,2331316.0,0.9332689087437965
BB30030,MUSCLE,5848069.0,0.9706780026178784
BB30030,BAliBASE,3647578.0,0.9572778460856112
BBS30016,ClustalW,32241.0,0.6915701415701415
BBS30016,MUSCLE,31184.0,0.6785916351133743
BBS30016,BAliBASE,31334.0,0.6818557688122906
BB30008,ClustalW,669508.0,0.8841190608245517
BB30008,MUSCLE,911800.0,0.9068305684847038
BB30008,BAliBASE,807656.0,0.9072849616374032
BBS30022,ClustalW,196706.0,0.7220821173577079
BBS30022,MUSCLE,221853.0,0.7387712287712288
BBS30022,BAliBASE,203748.0,0.7250947525756686
BBS30015,ClustalW,21091.0,0.7846354166666667
BBS30015,MUSCLE,21886.0,0.7777540867093106
BBS30015,BAliBASE,21240.0,0.772082878953108
BBS30010,ClustalW,501819.0,0.6292598514060002
BBS30010,MUSCLE,570358.0,0.6548500243979448
BBS30010,BAliBASE,497746.0,0.625112715855573
BBS30001,ClustalW,1082038.0,0.7475787451896172
BBS30001,MUSCLE,1216474.0,0.7630958579287762
