sequence,method,wsp_raw,wsp_norm
BBS30011,ClustalW,154.61555995255839,0.7046243829862137
BBS30011,MUSCLE,163.2849245289058,0.7469270953353434
BBS30011,BAliBASE,151.66513902398756,0.7157782134970079
BB30021,ClustalW,867.9178097680714,0.9621685332637341
BB30021,MUSCLE,1131.7220634539494,1.006190417945839
BB30021,BAliBASE,1026.834493556806,0.969121379474697
BB30022,ClustalW,123.38427827274498,0.8757349203030992
BB30022,MUSCLE,145.59562728656942,0.9123243574340193
BB30022,BAliBASE,116.04339482355567,0.8705243341716756
BB30026,ClustalW,768.378712533152,0.8706679141785484
BB30026,MUSCLE,795.957363425562,0.9510539185462399
BB30026,BAliBASE,654.847116247403,0.8383391636526814
BBS30030,ClustalW,112.87768319548455,0.793957917902861
BBS30030,MUSCLE,166.84550262540816,0.7727337534214881
BBS30030,BAliBASE,148.36332358458236,0.7217790332840897
BBS30007,ClustalW,21.31620553737161,0.6208946809189971
BBS30007,MUSCLE,33.667910537835354,0.6538190262371748
BBS30007,BAliBASE,30.142386663028688,0.6334682179731799
BB30024,ClustalW,1104.8430746910194,0.9411988583825025
BB30024,MUSCLE,1347.737268087275,0.9793934213016241
BB30024,BAliBASE,1037.8498180507434,0.9331293685907577
BBS30002,ClustalW,246.83000126497487,0.8088734273178723
BBS30002,MUSCLE,279.5776351794513,0.8498686618262581
BBS30002,BAliBASE,284.7367131647765,0.8040470993293504
BBS30012,ClustalW,233.0771858812093,0.7172931553876344
BBS30012,MUSCLE,259.7392955366815,0.7716371940201804
BBS30012,BAliBASE,266.7633365919952,0.7397226454639905
BBS30020,ClustalW,39.143953632635615,0.7948935480883988
BBS30020,MUSCLE,43.76394239758291,0.7952583007223765
BBS30020,BAliBASE,41.74823923033511,0.7870635405838124
BB30020,ClustalW,440.56245976662683,1.0327721583388072
BB30020,MUSCLE,965.8503897244136,1.0863099005498091
BB30020,BAliBASE,610.7381400852431,0.9431890535576528
BBS30004,ClustalW,48.50653741183069,0.6220851606504194
BBS30004,MUSCLE,56.86206534405498,0.6566212098903308
BBS30004,BAliBASE,48.87183604590263,0.6162366268295832
BB30011,ClustalW,284.5819942750436,0.8155075020035124
BB30011,MUSCLE,321.3352697032764,0.8740737197962797
BB30011,BAliBASE,242.91144637334654,0.8371110289498974
BBS30014,ClustalW,79.34101102127093,0.7159424076013094
BBS30014,MUSCLE,102.68156911644537,0.7831149439616784
BBS30014,BAliBASE,93.90533377121685,0.7016494497512553
BBS30023,ClustalW,327.58335527090117,0.667786956601153
BBS30023,MUSCLE,611.0230162517629,0.8028438331408835
BBS30023,BAliBASE,331.1462477191746,0.6711875429395583
BB30003,ClustalW,956.1519368389509,0.7716233229761275
BB30003,MUSCLE,2144.5623844301085,0.9507149918252618
BB30003,BAliBASE,1047.813045834962,0.8072440354277691
BBS30029,ClustalW,400.69371064706075,0.821744743212337
BBS30029,MUSCLE,533.2241152178043,0.8815840824179999
BBS30029,BAliBASE,396.7110434234879,0.8032178132437793
BB30027,ClustalW,42.56136487195948,0.9398807639968029
BB30027,MUSCLE,54.92274561011475,0.9664369876153523
BB30027,BAliBASE,37.931113778838345,0.901775013422287
BB30019,ClustalW,559.5341814097325,0.8260649086095525
BB30019,MUSCLE,916.9010718145771,0.9248875543101116
BB30019,BAliBASE,493.4224805085737,0.8831164254791369
BBS30021,ClustalW,293.77801493322437,0.7816079434743176
BBS30021,MUSCLE,472.6679264490712,0.877258372793684
BBS30021,BAliBASE,344.592953875441,0.8121846564097284
BBS30025,ClustalW,61.56148242059437,0.7618617958928748
BBS30025,MUSCLE,85.34414646803145,0.8413036101359206
BBS30025,BAliBASE,64.92222921199917,0.7715404649316279
BBS30024,ClustalW,204.64292272220317,0.7382991386617361
BBS30024,MUSCLE,274.28771110884406,0.8204149285265022
BBS30024,BAliBASE,207.61827908505572,0.7126123537965824
BB30007,ClustalW,106.82771541770462,0.7181388307971278
BB30007,MUSCLE,245.77831396459857,0.8939989782757163
BB30007,BAliBASE,348.3224250129717,0.9588670464901233
BBS30008,ClustalW,60.18761866172157,0.8681537920274565
BBS30008,MUSCLE,132.53801041904072,0.8985810177334014
BBS30008,BAliBASE,98.35860330902952,0.8682564307118248
BBS30006,ClustalW,28.30165702997512,0.6575805949872731
BBS30006,MUSCLE,44.63099719851662,0.7607480617600944
BBS30006,BAliBASE,35.93697629105888,0.6144687130397212
BBS30009,ClustalW,12.623968077166134,0.8631557972035572
BBS30009,MUSCLE,14.696924939068474,0.9054138759435258
BBS30009,BAliBASE,12.154880446504013,0.8576165855124126
BB30018,ClustalW,462.5768788695692,0.9002040978908639
BB30018,MUSCLE,619.7538449024715,0.9641537558294473
BB30018,BAliBASE,485.7296200260235,0.9074513004935255
BB30028,ClustalW,303.97559252224306,0.8432735459958871
BB30028,MUSCLE,432.4597912014856,0.9042861735954736
BB30028,BAliBASE,327.9177595208154,0.856321782849908
BB30023,ClustalW,1008.3493267750988,0.8534572128039815
BB30023,MUSCLE,1391.4039162721235,0.9268178244194227
BB30023,BAliBASE,957.5761315448872,0.8331289755709782
BBS30028,ClustalW,220.18646712936473,0.799091265337923
BBS30028,MUSCLE,333.1761878837299,0.8736752387735874
BBS30028,BAliBASE,234.1225610996486,0.8044280642334891
BB30010,ClustalW,776.4960780635835,0.9037810083839241
BB30010,MUSCLE,1053.066115328961,0.8570769242897158
BB30010,BAliBASE,891.8750411988703,0.8128564486632776
BB30009,ClustalW,71.71270754625048,0.8503798343915955
BB30009,MUSCLE,123.30503485291092,0.8925711880839442
BB30009,BAliBASE,99.49635905613746,0.7368925605715752
BBS30018,ClustalW,124.3634716832856,0.8303783299054711
BBS30018,MUSCLE,141.72680646924408,0.8557429493086353
BBS30018,BAliBASE,131.38567570927708,0.836256369271321
BB30014,ClustalW,111.95824893320521,0.7742862985574246
BB30014,MUSCLE,151.45893928798088,0.8428713798084514
BB30014,BAliBASE,131.17816388243264,0.7625332033896536
BB30029,ClustalW,1164.4791789270357,0.9461204404378268
BB30029,MUSCLE,1434.2044906503015,0.9807241549058073
BB30029,BAliBASE,1178.0813627458942,0.9360677825699122
BB30015,ClustalW,142.5871350019667,1.0010800997621332
BB30015,MUSCLE,156.09863042223216,1.0091244805748085
BB30015,BAliBASE,158.47730701916075,1.0017427301029698
BB30017,ClustalW,67.63881580534255,0.6888684494175189
BB30017,MUSCLE,81.49023507530386,0.7341301452728514
BB30017,BAliBASE,75.52939555636495,0.6949342245868555
BBS30027,ClustalW,19.66384504345766,0.8480427345888679
BBS30027,MUSCLE,21.453204701713656,0.8625299836903835
BBS30027,BAliBASE,16.16550634177608,0.8098293171983216
